AP1597688809798ggye,20210115,335,WDW,rxnu,ofon,perftest@dis.sink.sparkpostmail.com,8002,20210922,39.64
AP1597688809798ggye,20210115,335,WDW,rxnu,ofon,perftest@dis.sink.sparkpostmail.com,8002,20211022,39.64
AP1597688809798ggye,20210115,335,WDW,rxnu,ofon,perftest@dis.sink.sparkpostmail.com,8002,20211121,39.64
AP1597688809806gwfu,20210120,652,WDW,rdjt,kbhr,perftest@dis.sink.sparkpostmail.com,6558,20210927,40.97
AP1597688809806gwfu,20210120,652,WDW,rdjt,kbhr,perftest@dis.sink.sparkpostmail.com,6558,20211027,40.97
AP1597688809806gwfu,20210120,652,WDW,rdjt,kbhr,perftest@dis.sink.sparkpostmail.com,6558,20211126,40.97
AP1597688809828jblb,20210307,519,WDW,hwjb,yckm,perftest@dis.sink.sparkpostmail.com,4148,20211112,35.67
AP1597688809828jblb,20210307,519,WDW,hwjb,yckm,perftest@dis.sink.sparkpostmail.com,4148,20211212,35.67
AP1597688809828jblb,20210307,519,WDW,hwjb,yckm,perftest@dis.sink.sparkpostmail.com,4148,20220111,35.67
AP1597688809829qxcg,20201121,115,WDW,zvzg,shnt,perftest@dis.sink.sparkpostmail.com,3886,20210729,11.88
AP1597688809829qxcg,20201121,115,WDW,zvzg,shnt,perftest@dis.sink.sparkpostmail.com,3886,20210828,11.88
AP1597688809829qxcg,20201121,115,WDW,zvzg,shnt,perftest@dis.sink.sparkpostmail.com,3886,20210927,11.88
AP1597688809830fjwa,20210212,208,WDW,sgdd,magm,perftest@dis.sink.sparkpostmail.com,6269,20211020,29.41
AP1597688809830fjwa,20210212,208,WDW,sgdd,magm,perftest@dis.sink.sparkpostmail.com,6269,20211119,29.41
AP1597688809830fjwa,20210212,208,WDW,sgdd,magm,perftest@dis.sink.sparkpostmail.com,6269,20211219,29.41
AP1597688809831bzxm,20210224,313,WDW,zahr,ovqu,perftest@dis.sink.sparkpostmail.com,6830,20211101,71.60
AP1597688809831bzxm,20210224,313,WDW,zahr,ovqu,perftest@dis.sink.sparkpostmail.com,6830,20211201,71.60
AP1597688809831bzxm,20210224,313,WDW,zahr,ovqu,perftest@dis.sink.sparkpostmail.com,6830,20211231,71.60
AP1597688809832lvxa,20201227,556,WDW,upot,ccyy,perftest@dis.sink.sparkpostmail.com,5639,20210903,95.14
AP1597688809832lvxa,20201227,556,WDW,upot,ccyy,perftest@dis.sink.sparkpostmail.com,5639,20211003,95.14
AP1597688809832lvxa,20201227,556,WDW,upot,ccyy,perftest@dis.sink.sparkpostmail.com,5639,20211102,95.14
AP1597688809833odbf,20201011,814,WDW,fmhf,qcxy,perftest@dis.sink.sparkpostmail.com,8833,20210618,63.13
AP1597688809833odbf,20201011,814,WDW,fmhf,qcxy,perftest@dis.sink.sparkpostmail.com,8833,20210718,63.13
AP1597688809833odbf,20201011,814,WDW,fmhf,qcxy,perftest@dis.sink.sparkpostmail.com,8833,20210817,63.13
AP1597688809834jeax,20201023,506,WDW,zkfp,jyzf,perftest@dis.sink.sparkpostmail.com,2096,20210630,86.66
AP1597688809834jeax,20201023,506,WDW,zkfp,jyzf,perftest@dis.sink.sparkpostmail.com,2096,20210730,86.66
AP1597688809834jeax,20201023,506,WDW,zkfp,jyzf,perftest@dis.sink.sparkpostmail.com,2096,20210829,86.66
AP1597688809835bwaw,20210307,456,WDW,qcrc,qllt,perftest@dis.sink.sparkpostmail.com,8320,20211112,41.51
AP1597688809835bwaw,20210307,456,WDW,qcrc,qllt,perftest@dis.sink.sparkpostmail.com,8320,20211212,41.51
AP1597688809835bwaw,20210307,456,WDW,qcrc,qllt,perftest@dis.sink.sparkpostmail.com,8320,20220111,41.51
AP1597688809836ytcb,20201217,188,WDW,hgnt,wlmr,perftest@dis.sink.sparkpostmail.com,7839,20210824,80.88
AP1597688809836ytcb,20201217,188,WDW,hgnt,wlmr,perftest@dis.sink.sparkpostmail.com,7839,20210923,80.88
AP1597688809836ytcb,20201217,188,WDW,hgnt,wlmr,perftest@dis.sink.sparkpostmail.com,7839,20211023,80.88
AP1597688809837bkzz,20210220,641,WDW,tztd,umar,perftest@dis.sink.sparkpostmail.com,2854,20211028,78.78
AP1597688809837bkzz,20210220,641,WDW,tztd,umar,perftest@dis.sink.sparkpostmail.com,2854,20211127,78.78
AP1597688809837bkzz,20210220,641,WDW,tztd,umar,perftest@dis.sink.sparkpostmail.com,2854,20211227,78.78
AP1597688809838mgxe,20210121,501,WDW,racl,qain,perftest@dis.sink.sparkpostmail.com,1378,20210928,80.53
AP1597688809838mgxe,20210121,501,WDW,racl,qain,perftest@dis.sink.sparkpostmail.com,1378,20211028,80.53
AP1597688809838mgxe,20210121,501,WDW,racl,qain,perftest@dis.sink.sparkpostmail.com,1378,20211127,80.53
AP1597688809838cycq,20201205,372,WDW,cwzq,nqcf,perftest@dis.sink.sparkpostmail.com,7857,20210812,08.64
AP1597688809838cycq,20201205,372,WDW,cwzq,nqcf,perftest@dis.sink.sparkpostmail.com,7857,20210911,08.64
AP1597688809838cycq,20201205,372,WDW,cwzq,nqcf,perftest@dis.sink.sparkpostmail.com,7857,20211011,08.64
AP1597688809839opke,20210116,173,WDW,ljoq,cndm,perftest@dis.sink.sparkpostmail.com,1351,20210923,83.93
AP1597688809839opke,20210116,173,WDW,ljoq,cndm,perftest@dis.sink.sparkpostmail.com,1351,20211023,83.93
AP1597688809839opke,20210116,173,WDW,ljoq,cndm,perftest@dis.sink.sparkpostmail.com,1351,20211122,83.93
